ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7C7|22|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837732||0
7C7|23|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837733||0
7C7|24|8076701|20|59759|85426|999999|12|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837734||0
7C7|25|8076701|20|59759|85426|999999|12|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837735||0
7C7|26|8076701|20|59759|85426|999999|9|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837736||0
7D4|1|8077001|20|27693|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837005||0
7D4|2|8077001|20|27693|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837006||0
7D4|3|8077001|20|27693|85096|999999|7|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837007||0
7D4|4|8077001|20|59126|85096|999999|6|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837008||0
7D4|5|8077001|20|59126|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837009||0
7D4|6|8077001|20|59126|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837010||0
7D4|7|8077001|20|28597|85096|999999|6|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837011||0
7D4|8|8077001|20|57650|85096|999999|4|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837012||0
